class,model_name,description,status
Dump,32DT3X V2018,32 ft. Tridem 1/4 Frame U-Body,1
Dump,36ALB2X,36 ft. Tandem,0
Dump,37DT2X,37 ft.Tandem 1/4 Frame U-Body,0
Dump,37DT2X HV,"37 ft.Tandem 1/4 Frame U-Body, High Volume",0
Dump,37DT3X,37 ft. Tridem 1/4 Frame U-Body,1
Dump,37DT4X FF,37 ft. Tridem Full Frame U-Body,0
Dump,38ALB3XS,38 ft. Triaxle,0
Dump,39ALB3X,39 ft. Tridem,0
Dump,41ALB3X,41 ft. Tridem,0
Dump,48ALB4X,48 ft. QUAD-SPIF,0
Dump,53EWF4X,53Ft. Quad Elliptical Walking Floor Transfer Trailer,1
Dump,SFUB2X,U-Body Frameless Steel Scrap Tandem Dump,0
Dump,SPECIAL,PROPOSED,0
End Dumps,End Dump 4X,End Dump 4X,1
End Dumps,Frameless Alum. U Body 2X,Frameless Alum. U Body 2X,1
End Dumps,Frameless Alum. U Body 3X,Frameless Alum. U Body 3X,1
Equipment,42ET2X,42 ft. Tandem,1
Equipment,42ET3X,42 ft. Tridem,1
Equipment,48ET2X,48 ft. Tandem,1
Equipment,48ET3X,48 ft. Tridem,1
Equipment,48ET3X MR,48 ft. Tridem Manual Ramp,0
Equipment,53ET2X,53 ft. Tandem,1
Equipment,53ET3X,53 ft. Tridem,1
Equipment,53ET3X MR EAST,53 ft. Tridem Manual Ramp,1
Equipment,53ET3X MR WEST,53 ft. Tridem Manual Ramp,1
Equipment,53ET4X,53 ft. Quad,1
Equipment,53ET4X MR,53 ft. Quad Manual Ramp,1
Highway,28HBT2X,28 ft. Tandem Pull B-Train - Lumber Spec,1
Highway,28HBT2X 2018,28 ft. Tandem Pull B-Train,1
Highway,28HBT2XHD,28 ft. Tandem Pull B-Train - Heavy Duty Spec,0
Highway,28HBT3X,28 ft. Tridem Pull B Train,1
Highway,29HD3X Rail,"29 ft. Tridem Drop Deck, Rail",0
Highway,32HBT3X,32 ft.Tridem Lead B-Train - Lumber Spec,1
Highway,32HBT3X 2018,32 ft. Tridem Lead B-Train,1
Highway,32HBT3XHD,32 ft. Tridem Lead B-Train - Heavy Duty Spec,0
Highway,32HBT4X,32 ft. Quad Lead B-Train,1
Highway,35HD2X,35 ft. Tandem Drop Deck,0
Highway,40HD2X Penske CUSTOM,40 ft. Tandem Drop Deck - Penske Custom,1
Highway,40HD3XB,40 Ft. Tridem Drop Deck,0
Highway,42HD2X HD,42 FT. Tandem Heavy Duty Drop Deck,0
Highway,42HD3X 2018,42 ft. Tridem Drop Deck,0
Highway,42HD3X HD,42 FT. Tridem Heavy Duty Drop Deck,0
Highway,42HF2X,42 ft. Tridem Flat Deck - Single Tire,0
Highway,42HF3X HD,42 ft. Tridem Flat Deck - Single Tire,0
Highway,45HD2X,45 ft. Tandem Drop Deck,0
Highway,46HDD2X Custom,46 ft. Tandem Double Drop Deck - Custom,0
Highway,48HD2X,48 ft. Tandem Drop Deck,0
Highway,48HD2X SPECIAL,48 ft. Tandem Drop Deck,0
Highway,48HD3X,48 ft. Tridem Drop Deck,1
Highway,48HD5X,48 ft. Five Drop Deck,0
Highway,48HDD2X,48 ft. Tridem Double Drop Deck,0
Highway,48HDD2X Custom,48 ft. Tandem Double Drop Deck - Custom,0
Highway,48HDD2X Custom V1,48 ft. Tandem Double Drop Deck - Custom Ver. 1,0
Highway,48HDD2X EXT,48 ft. Tandem Doubel Drop Deck Extendable,1
Highway,48HDD3X,48 ft. Tridem Double Drop Deck,1
Highway,48HF2X,48 ft. Tandem Flat Deck,1
Highway,48HF3X,48 ft. Tridem Flat Deck,1
Highway,48HF4X,48 ft. Quad Flat Deck,1
Highway,50HF5X,50 ft. 5 Axle Flat Deck,1
Highway,51HD3X CON,51 ft. Tridem Drop Deck,1
Highway,53HD2X,53 ft. Tandem Drop Deck,1
Highway,53HD2X Crane,53 ft. Tandem Bridge Crane Drop Deck,1
Highway,53HD2X EXT,53 ft. Highway Drop Deck Extendable,1
Highway,53HD2X EXT H,53 ft. Highway Drop Deck Extendable,0
Highway,53HD2X EXT_temp1,53 ft. Highway Drop Deck Extendable,0
Highway,53HD3X,53 ft. Tridem Drop Deck,0
Highway,53HD3X 2018,53 ft. Tridem Drop Deck,1
Highway,53HD3X EXT,53 ft. Highway Drop Deck Extendable,1
Highway,53HD4X,53 ft. Quad Drop Deck,1
Highway,53HDD2X,53 ft. Tandem Double Drop Deck,0
Highway,53HDD3X,53 ft. Tridem Double Drop Deck,1
Highway,53HF3X,53 ft. Tridem Flat Deck,0
Highway,53HF3X 2018,53 ft. Tridem Flat Deck,1
Highway,53HF3X Pioneer,53 ft. Tridem Flat Deck - Pioneer,1
Highway,53HF3XEXT,53 ft. Tridem Flat Deck Extendable,1
Highway,53HF4X,53 ft. Quad Flat Deck,1
Highway,53HF4X - Super Single,53 ft. Quad Flat Deck,0
Highway,53OHD3X,53 ft. Tridem Oilfield Drop Deck,0
Highway,FA,Single Axle Flip,1
Highway,Fleet Only,,0
Hydraulics,25HDG2X Mini,25 Ton Tandem Square Back Mini Deck,0
Hydraulics,25HDG2X Mini NR,25 Ton Tandem Square Back Mini Deck,0
Hydraulics,25HDG2X SB,25 Ton Tandem Mini Quad Deck,1
Hydraulics,35HDG2X Mini,35 Ton Tandem Square Back Mini Deck,1
Hydraulics,35HDG2X Mini NR,35 Ton Tandem Square Back Mini Deck,0
Hydraulics,35HDG2X NR,35 Ton Tandem 48 ft. Non RTAC,1
Hydraulics,35HDG2X SB,35 Ton Tandem Mini Quad Deck,1
Hydraulics,35HDG2X48 AGULP,35 Ton Tandem - 48 ft. Agri Ultra Low Pro HDG,1
Hydraulics,35HDG2X53 AGC,35 Ton Tandem 53 ft. Agri - Chopper,0
Hydraulics,35HDG2X53 AGNR,35 Ton Tandem 53 ft. Agri - Non RTAC,1
Hydraulics,40HDG3X AG,40 Ton Tridem  Agriculture,1
Hydraulics,40HDG3X53 AG,40 Ton Tridem 53 ft. Agri,1
Hydraulics,40HDG4X SB P,40 Ton Quad Squareback Paver,1
Hydraulics,40HSN3X,,1
Hydraulics,50FA AGRI,50 Ton Single Axle Flip Agriculture,1
Hydraulics,50HDG3X AG,50 Ton Tridem  Agriculture,1
Hydraulics,51HDG3X SB,51 Ton Tridem Square Back,1
Hydraulics,51HDG3X SBLH,51 Ton Tridem Square Back Light Haul,1
Hydraulics,55FA,55 Ton Single Axle Flip - Heavy Haul,0
Hydraulics,55FA  B,55 Ton Single Axle Flip,1
Hydraulics,55FA LH,55 Ton Single Axle Flip - Light Haul,1
Hydraulics,55HDG3X,55 ton Tridem Square Back,1
Hydraulics,55HDG3X BT,55 Ton Tridem Beavertail,1
Hydraulics,55HDG3X BTHH,55 Ton Tridem Beavertail - Heavy Haul,1
Hydraulics,55HDG3X BTHH AG,55 Ton Tridem Beavertail - Heavy Haul AG,1
Hydraulics,55HDG3X E,55 ton Tridem Square Back - Elite,1
Hydraulics,55HDG3X H,55 ton Tridem Square Back Heavy,1
Hydraulics,55HDG3X HS,55 ton Tridem Square Back Heavy Spread Axle,1
Hydraulics,55HDG3X Q1,55 Ton Tridem Square Back,0
Hydraulics,55HDG3X SB,55 Ton Tridem Square Back,0
Hydraulics,55HDG3X SBHH,55 Ton Tridem Square Back - Heavy Haul,1
Hydraulics,55HDG3X SBHH AG,55 Ton Tridem Square Back - Heavy Haul,1
Hydraulics,55HDG3X SBLH,55 Ton Tridem Square Back - Light Haul,1
Hydraulics,55HDG3X SBLH PQ,55 Ton Tridem Square Back - Light Haul PQ,0
Hydraulics,55HDG3X SBPD,55 Ton Tridem Square Back Pin Deck,1
Hydraulics,55HDG3X US,55 ton Tridem Square Back,1
Hydraulics,55HDG4X SB,55 Ton Quad Squareback,0
Hydraulics,60HDG3X HB_temp1,60 ton Tridem Square Back,0
Hydraulics,60HDG4X SB,60 Ton Quad Squareback,0
Hydraulics,60HDGSB,60 Ton Tridem Squareback,0
Hydraulics,70HDG4X SB,70 Ton Quad Squareback,0
Hydraulics,DECK - Bellemar,55 ton Drop Side Pin Deck,1
Hydraulics,GNK - Bellemare,55 Ton Gooseneck,1
Jeep Dolly,20JD1X HP,20 Ton Single Axle High Profile,0
Jeep Dolly,20JD1X LP,20 Ton Single Axle Low Profile,1
Jeep Dolly,40JD2X HG,40 Ton Tandem Hydraulic,1
Jeep Dolly,40JD2X OF,40 Ton Tandem Oilfield,1
Jeep Dolly,40JD2X WL,40 Ton Tandem  Western Log,1
Jeep Dolly,60JD3X HG,60 Ton Tridem Hydraulic,0
Jeep Dolly,JD2+1X,Tridem Hydraulic,1
Jeep Dolly,JD2X,Tandem Hydraulic,1
Log,50LF4X5T NB,50' 5 Tier Quad - NB,1
Log,51LF4X5T NB,51' 5 Tier Quad - NB,1
Log,53LF4X5T NB,53' 5 Tier Quad - NB,1
Log,64LBT5X NL,64' 5 Axle B-Train - NL,1
Log Eastern,25LPT2X,25 Foot Tandem,0
Log Eastern,25LPT3X,25 Foot Tridem Pup,0
Log Eastern,25LPT3X JDI,25 ft. Logging Pup Trailer,0
Log Eastern,27LBT2X NL,27 ft. Tandem 1 Tier Pull B-Train - NL,1
Log Eastern,28LBT2X NS,28 ft. Tandem 3 Tier Pull B-Train - NS,1
Log Eastern,30LBT2X ON,30 ft. Tandem 3 Tier  Pull B-Train - Ontario,0
Log Eastern,37LBT3X NL,37 ft. Tridem 1 Tier Lead B-Train - NL,1
Log Eastern,39LBT3X NS,39 ft.Tridem 3 Tier Lead B-Train - NS,1
Log Eastern,39LBT3X ON,39 ft. Tridem 3 Tier Lead B-Train - Ontario,0
Log Eastern,42LD3X NL,42 ft. Tridem Pulp -  NL,0
Log Eastern,46LD3X4T NS,46 ft. Tridem 4 Tier Drop Frame - NS,0
Log Eastern,46LD3X4T NS V2016,46 ft. Tridem 4 Tier Drop Frame - NS,1
Log Eastern,46LD3X4T V2016,46 ft. Tridem 4 Tier Drop Frame,0
Log Eastern,46LD3X4T V2018,46 ft. Tridem 4 Tier Drop Frame - NS,1
Log Eastern,46LD3X4TLW NS,46`4 Tier Tridem - NS Lightweight,0
Log Eastern,46LD4X NL,46 ft. Quad Pulp - NL,0
Log Eastern,46LD4X4T NS,46 ft. Quad 4 Tier Drop Frame - NS,0
Log Eastern,46LF3X4T NL,46 ft.Tridem 4 Tier Taper Frame -  NL,0
Log Eastern,46LF3X4T NS,46 ft. Tridem 4 Tier Taper Frame -  NS,0
Log Eastern,46LF3X4T NS V2017,46 ft. Tridem 4 Tier Taper Frame -  NS,0
Log Eastern,46LF3X4T V2018,46 ft. Tridem 4 Tier Taper Frame,1
Log Eastern,46LF4X NL,46 ft. Quad Pulp Taper Frame - NL,1
Log Eastern,48LD3X5T V2018,48 ft. Tri 5 Tier Drop Frame,1
Log Eastern,48LD4X4T NB V2017,48 ft. Quad 4 Tier Drop Frame - NB,0
Log Eastern,48LD4X4T V2018,48 ft. Quad 4 Tier Drop Frame,0
Log Eastern,48LD4X5T NB V2016,48 ft. Quad 5 Tier Drop Frame - NB,1
Log Eastern,48LD4X5T ON,48 ft. Quad 5 Tier Drop Frame - ON,0
Log Eastern,48LD4X5T V2018,48 ft. Quad 5 Tier Drop Frame,1
Log Eastern,48LF3X NL,48 ft. Tridem Pulp Taper Frame - NL,0
Log Eastern,48LF3X5T NB,48 ft. Tridem 5  Tier Taper Frame - NB,1
Log Eastern,48LF3X5T NB V2016,48 ft. Tridem 5  Tier Taper Frame - NB,0
Log Eastern,48LF3X5T NB V2018,48 ft. Tridem 5  Tier Taper Frame - NB,0
Log Eastern,48LF3X5T V2018,48 ft. Tridem 5  Tier Taper Frame,1
Log Eastern,48LF4X NL,48 ft. Quad Pulp Taper Frame - NL,0
Log Eastern,48LF4X5T NB,48 ft. Quad 5 Tier Taper Frame - NB,1
Log Eastern,48LF4X5T NB V2016,48 ft. Quad 5 Tier Taper Frame - NB,1
Log Eastern,48LF4X5T V2018,48 ft. Quad 5 Tier Taper Frame - NB,0
Log Eastern,51LD4X5T NB V2016,51 ft. Quad  5 Tier Drop Frame - NB,1
Log Eastern,51LD4X5T NS/NB,51' 5 Tier Quad - NS/NB,1
Log Eastern,51LD4X5T ON,51 ft. Quad 5 Tier Drop Frame - ON,1
Log Eastern,51LD4X5T V2018,51 ft. Quad  5 Tier Drop Frame - NB,1
Log Eastern,51LD5X5T ON,51 ft.  5 Axle 5 Tier Drop Frame  - ON,0
Log Eastern,51LD5X5T ON V2017,51 ft. Five Axle 5 Tier Drop Frame - ON,0
Log Eastern,51LF3X5T NB,51 ft. Tridem 5  Tier Taper Frame - NB,1
Log Eastern,51LF3X5T NB V2016,51 ft. Tridem 5  Tier Taper Frame - NB,0
Log Eastern,51LF4X5T NB TRI V2016,"51 ft. Quad 5 Tier Taper Frame , Tri drive capable- NB",1
Log Eastern,51LF4X5T NB V2013,51' 5 Tier Quad - NB,1
Log Eastern,51LF4X5T NB V2016,51 ft. Quad 5 Tier Taper Frame - NB,1
Log Eastern,51LF4X5T V2018,51 ft. Quad 5 Tier Taper Frame,1
Log Eastern,52LD4X5T,52 ft. Quad 5 Tier Drop Frame,1
Log Eastern,52LF4X5T,52 ft. Quad 5 Tier Taper Frame,1
Log Eastern,53LD3X5T JDIHD,53 ft. 5 Tier Tridem Drop Frame Heavy Duty - JDI,0
Log US,42LD3X4T USAE,42 ft. Tridem 4 Tier Drop Frame - USAE,0
Log US,46LD2X4T US,46 ft. Tandem  4 Tier - US,0
Log US,46LD3X2T US,46 ft. Tridem 2 Tier - US,0
Log US,46LD3X4T US,46 ft. Tridem 4 Tier  -  US,0
Log US,46LD3X4T USAE,46 ft. Tridem 4 Tier Drop Frame - USAE,0
Log US,46LD3X5T HALE,46 ft. Tridem  5 Tier Drop Frame,1
Log US,46LF3X MN,46 ft. Tridem Pulp Taper Frame -  MN,0
Log US,46LF3X4T USAE,46 ft. Tridem 4 Tier Taper Frame - USAE,0
Log US,48LD3X5T US,48 ft. Tridem 5 Tier Drop Frame -  US,0
Log US,48LD3X5T USAE,48 ft. Tridem  5 Tier Drop Frame - USAE,0
Log US,48LF3X5T USAE,48 ft. Tridem 5 Tier Taper Frame- USAE,0
Log US,51LF4X3T US,51 ft. Quad 3 Tier Taper Frame - US,0
Log Western,27LBT2X W,27 ft. Tandem 1 Tier  Pull B-Train - Western,1
Log Western,27LD2X,28 ft. Tandem 1  Tier Lead B-Train - Manitoba,0
Log Western,30LBT2X W,30 ft. Tandem 1 Tier  Pull B-Train - Western,1
Log Western,37LBT2X W,37 ft. Tandem 2 Tier Lead B-Train - Western,1
Log Western,37LBT3X W,37 ft. Tridem 2 Tier Lead B-Train - Western,1
Log Western,39LBT2X W,39 ft. Tandem 2 Tier Lead B-Train - Western,1
Log Western,39LBT3X W,39 ft. Tridem 2 Tier Lead B-Train - Western,1
Log Western,40LD3X,40 ft. Tridem 2 Tier Pull B-Train - Manitoba,0
Log Western,46LD3X2T BC,46 ft. Tridem 2 Tier Drop Frame - BC,0
Log Western,48LF3X3T AB,48' 3 Tier Tridem - AB,1
Log Western,48LF4X3T AB,48' 3 Tier Quad - AB,1
Log Western,50LD3X3T BC,50' 3 Tier Tridem - BC,1
Log Western,50LF3X3T AB,50' 3 Tier Tridem - AB,0
Log Western,50LF3X3T SK,50 ft. Tridem 3 Tier Taper Frame - SK,0
Log Western,50LF3X3T HD,50 ft. Triaxle 3 Tier Taper Frame Heavy Duty - AB,0
Log Western,50LF4X3T AB,50' 3 Tier Quad - AB,1
Log Western,50LF4X3T HD,50 ft. Quad 3 Tier Taper Frame Heavy Duty - AB,0
Log Western,51LF3X3T AB V2016,51 ft. Tridem 3 Tier Taper Frame - AB,1
Log Western,51LF3X3T PEAK,51 ft. Tridem 3 Tier Taper Frame,0
Log Western,51LF3X3T SK,51 ft. Tridem 3 Tier Shortwood Taper Frame - SK,1
Log Western,51LF4X3T AB V2015,51 ft. Quad 3 Tier Taper Frame - AB,1
Log Western,53LD3X3T BC,53 ft. Tridem 3 Tier Drop Frame - BC,0
Log Western,53LD3X3T BCHD,53 ft. Tridem 3 Tier Drop Frame Heavy Duty - BC,0
Machinery,20PAG2X,20 Ton Tandem Agriculture,0
Machinery,30ADG2X48 AGULP,35 Ton Tandem 48 ft. Agri Ultra Low Pro,1
Machinery,30ADG2X51 AGLP,30 Ton Tandem 51 ft. Agri Low Profile,0
Machinery,30ADG2X51 LP,30 TON AIR DETACHABLE TRAILER 51 FT,0
Machinery,30ADG2X53 AGLP,30 Ton Tandem 53 ft. Agri Low Profile,0
Machinery,35ADG2X AGNR,35 Ton Tandem 48 ft. Agri-Non RTAC,1
Machinery,35ADG2X AGR,35 Ton Tandem 48 ft. Agri RTAC,0
Machinery,35ADG2X NR,35 Ton Tandem 48 ft. Non RTAC,1
Machinery,35ADG2X R,35 Ton Tandem 48 ft. RTAC,0
Machinery,35ADG2X37 AGNR,35 Ton Tandem 37 ft.  Agri - Non RTAC,0
Machinery,35ADG2X48 AGULP,35 Ton Tandem 48 ft. Agri Ultra Low Pro,1
Machinery,35ADG2X51 AGC,35 Ton Tandem 51 ft. Agri - Chopper,0
Machinery,35ADG2X51 AGLP,35 Ton Tandem 51 ft. Agri Low Profile,1
Machinery,35ADG2X51 AGNR,35 Ton Tandem 51 ft. Agri - Non RTAC,1
Machinery,35ADG2X51 LP,35 Ton Tandem 51 ft. Low Profile,0
Machinery,35ADG2X53 AGC,35 Ton Tandem 53 ft. Agri - Chopper,0
Machinery,35ADG2X53 AGCO,35 Ton Tandem 53 ft. Agri - Non RTAC,0
Machinery,35ADG2X53 AGNR,35 Ton Tandem 53 ft. Agri - Non RTAC,1
Machinery,35ADG2X53 AGS,35 Ton Tandem 53 ft.  Agri  8 ft. Spread,1
Machinery,35ADG3X53 AGNR,35 Ton Tridem 53 ft.  Agri - Non RTAC,0
Machinery,35DD2X BT,35 Ton Double Drop Beaver Tail,0
Machinery,35FA,35 Ton Single Axle Flip,1
Machinery,35HDG2X53,35 Ton Tandem Hydraulic - 53 ft.,0
Machinery,35MD2X BT,35 Ton Tandem Beaver Tail,0
Machinery,35MD2X EXT,35 Ton Tandem Mechanical Extendable,1
Machinery,35MD2X NR,35 Ton Mechanical Detachable Gooseneck,1
Machinery,35MD2X48,35 Ton Tandem Mechanical - 48 Ft.,1
Machinery,35MD2X48 AGULP,35 Ton Tandem 48 ft. Agri Ultra Low Pro,0
Machinery,35MD2X48 P,35 Ton Tandem Mechanical - 48 Ft.Pin Deck,0
Machinery,35MD2X53,35 Ton Tandem Mechanical - 53 ft.,1
Machinery,35MD2X53 EXT,35 Ton Tandem Mechanical Extendable,1
Machinery,40ADG2X NR,40 Ton Tandem 48 ft. - Non RTAC,1
Machinery,40ADG3X AGR,40 Ton Tridem 49 ft 5 in. Agri RTAC,1
Machinery,40ADG3X R,40 Ton Tridem 49 ft. 5 in. RTAC,1
Machinery,40ADG3X53 AGLP,40 Ton Tridem 53 ft. Agri - Non RTAC Low pro,1
Machinery,40ADG3X53 AGNR,40 Ton Tridem 53 ft. Agri - Non RTAC,1
Machinery,40ADG3X53 NR,40Ton Tridem 53 ft. -Non RTAC,1
Machinery,45MD3X EXT,45 Ton Tridem Mechanical Extendable,0
Machinery,50ADG3X53 NR,50 Ton Tridem 53 ft. Non RTAC,0
Nuclear,40NS2 US,Tandem Nitro Stinger,0
Nuclear,42DD2X,42 ft. Tandem Double Drop,0
Nuclear,42DD3X WCS,42 ft. Tridem Double Drop  - WCS,0
Nuclear,44DD2X,44 ft. Tandem Double Drop,0
Nuclear,47DD3X,47 ft. Tridem Double Drop,1
Nuclear,51DD3X HD,51 ft. Tridem Double Drop,0
Nuclear,53DD4X,53 ft. Quad Double Drop,1
Oilfield,40SN3X,40 Ton Tridem Scissorneck,1
Oilfield,40SN3X M,40 Ton Tridem Military Scissorneck,0
Oilfield,40SN3X SB,40 Ton Tridem Square Back Scissorneck,0
Oilfield,50SN3X,50 Ton Tridem Scissorneck,0
Oilfield,50SN3X 2018,50 Ton Tridem Scissorneck,0
Oilfield,51OF3X,51 Ton Tridem  Oilfield Float,0
Oilfield,55LB3X,55 Ton Tridem Lowboy Ridigneck,1
Oilfield,55LB3X LND,"55 Ton Tridem Lowbed Long Neck - 6"" Drop",1
Oilfield,55LB3X LNF,55 Ton Tridem TriDrive Neck Lowbed,1
Oilfield,55LB3X SND,"55 Ton Tridem  Short Neck - 6"" Drop Lowbed",1
Oilfield,60SN3X,60 Ton Tridem Scissorneck,0
Paving & Recovery,48ET2XP,48 ft. Tandem,1
Paving & Recovery,48ET3XP,48 ft. Tridem,1
Paving & Recovery,53ET2XP,53 ft. Tandem,1
Paving & Recovery,53ET3XP,53 ft. Tridem,1
Paving & Recovery,53ET3XP MI,53 ft. Tridem Michigan Paver,0
Paving & Recovery,53ET4XP,53 ft. Quad,1
Screener,360,20 ft. Single Axle Screener,1
Snow & Ice Control,1155,15.5 ft. Unibody Dump,1
Snow & Ice Control,2311,11 ft. All Season Sander Body,0
Snow & Ice Control,2313,13 ft. All Season Sander Body,0
Snow & Ice Control,2513 DC,13 ft. U-Body Dual Cross Conveyor Dump,1
Snow & Ice Control,2514 DC,14 ft. U-Body Dual Cross Converyor Dump,1
Snow & Ice Control,2514 SNC,14 ft. U-Body Dump,0
Snow & Ice Control,3434 PMB,11 ft. Power Angle Plow,0
Snow & Ice Control,3920-94 PMP,11 ft. Hydraulic Snow Wing,0
Snow & Ice Control,Installation,"Installation Body, Plow, Wing and Headworks",0
Snow & Ice Control,SICD2X NT,Dump Truck 2 Axle,0
Snow & Ice Control,SICP1X NT,Plow Truck 1 Axle,0
Snow & Ice Control,SPUD KIT 4300,BULK BODY SPUD 4300,0
Snow & Ice Control,TC1X,Truck Complete,0
Snow & Ice Control,TC2X,Truck complete 2 Axle,0
Snow & Ice Control,TEMP,TEMP,0
Stargate,TB48,Truck Box - 48 in.,1
Stargate,17PDB,Pony Dump Body,0
Stargate,19SB,19 ft. 6 in. Steel Dump Body,1
Stargate,24SB,24 ft. Steel Dump Body,1
Stargate,28LB2X A,28 ft. Tandem Aluminum,1
Stargate,30SB,30 ft. Steel Dump Body,1
Stargate,38LB3X A,38 ft. TRIDEM Aluminum,1
Stargate,48LB4X A,48 ft. QUAD Aluminum,0
Stargate,B-Train Dump_temp1,Steel Lead B-Train Dump Trailer,0
Stargate,B-Train Pull Dump_temp1,Steel Lead B-Train Dump Trailer,0
Stargate,CD1X,Converter Dolly Single Axle,1
Stargate,CD2X,Converter Dolly Tandem,1
Stargate,Dump 36SF3X,36 ft - Steel Frame Dump,1
Stargate,Dump SF3X,40 ft - Steel Frame Dump,1
Stargate,Dump SF4X,45 ft - Steel Frame Dump,1
Stargate,End Dump - temp1,Dura-Wall Frame Type End Dump,0
Stargate,Pony Chassis,Pony Chassis Tridem,1
Stargate,Pony Dump 3X17,Pony Dump Trailer Tridem,1
Stargate,PY-FR454-WR3X,28 ft. Tandem Pup Dump,0
Stargate,Steel End Dump 2X,36 ft - Steel End Dump,1
Stargate,UBF2X,U Body Frameless Aluminum Tandem Dump,1
Tags,15BWS2X,15 Ton Non Tilt Tandem Deckover Electric Brake,0
Tags,15BWS2X G,15 Ton Non Tilt Tandem Electric Brake,0
